#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#freetv.fun does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://freetv.fun/app
#Generated on: 2026-08-24 12:00:02 UTC


#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#freetv.fun並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://freetv.fun/app
#生成時間: 2026-08-24 12:00:02 UTC


Africa,#genre#
ACI TV Africa[geo-blocked],https://t.freetv.fun/live/voa-tv-africa-1080p.m3u8
ACI TV Africa[geo-blocked],https://t.freetv.fun/live/faith-africa.m3u8
CRTV Cameroon[geo-blocked],https://t.freetv.fun/live/crtv-1.m3u8
TVC News[geo-blocked],https://t.freetv.fun/live/tvc-1.m3u8
Vision TV 4 Africa[geo-blocked],https://t.freetv.fun/live/vision.m3u8
Albania,#genre#
ALSAT M ALBANIA[geo-blocked],https://t.freetv.fun/live/alsat.m3u8
Alb Music[geo-blocked],https://t.freetv.fun/live/hallo-music.m3u8
KTV Kohavision Albania[geo-blocked],https://t.freetv.fun/live/kohavision.m3u8
Klan Kosova TV [geo-blocked],https://t.freetv.fun/live/tv-klan.m3u8
Klan Kosova TV [geo-blocked],https://t.freetv.fun/live/klan-kosova.m3u8
RTV 21 HD Albania[geo-blocked],https://t.freetv.fun/live/rtv.m3u8
Tip TV[geo-blocked],https://t.freetv.fun/live/top-tv.m3u8
Tring Comedy Albania[geo-blocked],https://t.freetv.fun/live/vip-comedy-1.php
Algeria,#genre#
Lindex TV[geo-blocked],https://t.freetv.fun/live/lider-tv.m3u8
Lindex TV[geo-blocked],https://t.freetv.fun/live/lider-tv-1.m3u8
Argentina,#genre#
America TV[geo-blocked],https://t.freetv.fun/live/america-paraguay.m3u8
America TV[geo-blocked],https://t.freetv.fun/live/hola-tv-latin-america.m3u8
America TV[geo-blocked],https://t.freetv.fun/live/america-teve.m3u8
America TV[geo-blocked],https://t.freetv.fun/live/albanian-tv-america.m3u8
Canal 26 Argentina[geo-blocked],https://t.freetv.fun/live/canal-26-1.m3u8
Canal Rural Argentina[geo-blocked],https://t.freetv.fun/live/canal-rural.m3u8
Canal Rural Argentina[geo-blocked],https://t.freetv.fun/live/canal-rural-1.m3u8
TEC TV HD[geo-blocked],https://t.freetv.fun/live/tea-tv.m3u8
Telemax Argentina[geo-blocked],https://t.freetv.fun/live/telemax.m3u8
Telemax Argentina[geo-blocked],https://t.freetv.fun/live/telemax-1.m3u8
Armenia,#genre#
Armenia TV[geo-blocked],https://t.freetv.fun/live/armenia-2.m3u8
Armenia TV[geo-blocked],https://t.freetv.fun/live/armenia-1.m3u8
Armenia TV[geo-blocked],https://t.freetv.fun/live/usa-armenia-am.m3u8
Armenia TV[geo-blocked],https://t.freetv.fun/live/armenia-1-1.m3u8
Armenia TV[geo-blocked],https://t.freetv.fun/live/armenia-tv-satellite.m3u8
Australia,#genre#
ABC NEWS 24[geo-blocked],https://t.freetv.fun/live/news-24.m3u8
ABC NEWS 24[geo-blocked],https://t.freetv.fun/live/news-24-1.m3u8
Ski TV[geo-blocked],https://t.freetv.fun/live/sai-tv.m3u8
TVSN Australia[geo-blocked],https://t.freetv.fun/live/tvsn.m3u8
TVSN Australia[geo-blocked],https://t.freetv.fun/live/tvsn-1.m3u8
Belarus,#genre#
Беларусь 1[geo-blocked],https://t.freetv.fun/live/belarus-1.php
Беларусь 1[geo-blocked],https://t.freetv.fun/live/belarus-1-1-1.m3u8
Беларусь 1[geo-blocked],https://t.freetv.fun/live/belarus-1-2.m3u8
Беларусь 1[geo-blocked],https://t.freetv.fun/live/belarus-3-2.m3u8
Беларусь 1[geo-blocked],https://t.freetv.fun/live/belarus-3-3.m3u8
Беларусь 1[geo-blocked],https://t.freetv.fun/live/belarus1.php
Беларусь 2[geo-blocked],https://t.freetv.fun/live/belarus-24.php
Беларусь 2[geo-blocked],https://t.freetv.fun/live/belarus-2.php
Беларусь 2[geo-blocked],https://t.freetv.fun/live/belarus-24-1.m3u8
Беларусь 2[geo-blocked],https://t.freetv.fun/live/belarus-24-2.m3u8
Беларусь 2[geo-blocked],https://t.freetv.fun/live/belarus-2-1-1.m3u8
Беларусь 2[geo-blocked],https://t.freetv.fun/live/belarus-24-3.m3u8
Беларусь 2[geo-blocked],https://t.freetv.fun/live/belarus-2-2.php
Беларусь 2[geo-blocked],https://t.freetv.fun/live/belarus-2-3.m3u8
Беларусь 5[geo-blocked],https://t.freetv.fun/live/belarus-5.php
Беларусь 5[geo-blocked],https://t.freetv.fun/live/belarus-3.php
Беларусь 5[geo-blocked],https://t.freetv.fun/live/belarus-3-1-1.m3u8
Беларусь 5[geo-blocked],https://t.freetv.fun/live/belarus-5-2.m3u8
Беларусь 5[geo-blocked],https://t.freetv.fun/live/belarus-5-3.m3u8
Беларусь 5[geo-blocked],https://t.freetv.fun/live/belarus-5-4.m3u8
Беларусь 5[geo-blocked],https://t.freetv.fun/live/belarus-5-5-1.php
Беларусь 5[geo-blocked],https://t.freetv.fun/live/belarus-5-6.m3u8
Bolivia,#genre#
RED PAT[geo-blocked],https://t.freetv.fun/live/red-4.php
Bosnia,#genre#
FTV BiH[geo-blocked],https://t.freetv.fun/live/ftv.m3u8
FTV BiH[geo-blocked],https://t.freetv.fun/live/ftv-1.m3u8
FTV BiH[geo-blocked],https://t.freetv.fun/live/ftv-2.m3u8
Brazil,#genre#
BH News Brasil[geo-blocked],https://t.freetv.fun/live/new-brasil.m3u8
Band[geo-blocked],https://t.freetv.fun/live/band-mg.m3u8
Band[geo-blocked],https://t.freetv.fun/live/band.m3u8
Band Sports[geo-blocked],https://t.freetv.fun/live/band-sports.m3u8
CN Brazil[geo-blocked],https://t.freetv.fun/live/cnn-brasil.m3u8
CN Brazil[geo-blocked],https://t.freetv.fun/live/cnn-brasil-1.m3u8
CN Brazil[geo-blocked],https://t.freetv.fun/live/cnn-brasil-2.m3u8
CN Brazil[geo-blocked],https://t.freetv.fun/live/music-box-brazil.m3u8
Canal Novo Tempo[geo-blocked],https://t.freetv.fun/live/novo-tempo.m3u8
Chef TV Brasil[geo-blocked],https://t.freetv.fun/live/chef-tv.m3u8
ISTV [Brazil][geo-blocked],https://t.freetv.fun/live/istv.m3u8
ISTV [Brazil][geo-blocked],https://t.freetv.fun/live/istv-1.m3u8
ISTV [Brazil][geo-blocked],https://t.freetv.fun/live/istv-2.m3u8
REDE TV![geo-blocked],https://t.freetv.fun/live/rede-tv.m3u8
Record 1 Brazil[geo-blocked],https://t.freetv.fun/live/record.m3u8
Record News HD Brazil[geo-blocked],https://t.freetv.fun/live/record-news.m3u8
Record News HD Brazil[geo-blocked],https://t.freetv.fun/live/record-news-1.m3u8
Record Rio de Janeiro[geo-blocked],https://t.freetv.fun/live/rede-cnt-rio-de-janeiro.m3u8
Rede Correio Brasil[geo-blocked],https://t.freetv.fun/live/rede-brasil.m3u8
Rede Familia[geo-blocked],https://t.freetv.fun/live/rede-familia.m3u8
Rede Familia[geo-blocked],https://t.freetv.fun/live/rede-familia-1.m3u8
Rede Globo[geo-blocked],https://t.freetv.fun/live/rede-globo.m3u8
Rede Super! (Brazil)[geo-blocked],https://t.freetv.fun/live/super.m3u8
Rede Super! (Brazil)[geo-blocked],https://t.freetv.fun/live/rede-super.m3u8
Rede TV[geo-blocked],https://t.freetv.fun/live/redetv.m3u8
Rede Vida[geo-blocked],https://t.freetv.fun/live/rede-vida.m3u8
TNT Brazil 1[geo-blocked],https://t.freetv.fun/live/tnt-sd.m3u8
TV Aparecida[geo-blocked],https://t.freetv.fun/live/tv-aparecida.m3u8
TV Brasil[geo-blocked],https://t.freetv.fun/live/times-brasil.m3u8
TV Brasil[geo-blocked],https://t.freetv.fun/live/tv-brasil.m3u8
TV Brasil[geo-blocked],https://t.freetv.fun/live/trace-brasil.m3u8
TV Brasil[geo-blocked],https://t.freetv.fun/live/tv-brasil-1.m3u8
TV Brasil[geo-blocked],https://t.freetv.fun/live/tv-brasil-2.m3u8
TV Brasil[geo-blocked],https://t.freetv.fun/live/mbc-brasil-tv.m3u8
TV Cultura[geo-blocked],https://t.freetv.fun/live/tv-cultura.m3u8
TV Cultura[geo-blocked],https://t.freetv.fun/live/tve-cultura.m3u8
TV Cultura[geo-blocked],https://t.freetv.fun/live/cultura-para.m3u8
TV Cultura[geo-blocked],https://t.freetv.fun/live/tv-culturas.m3u8
TV Cultura[geo-blocked],https://t.freetv.fun/live/cultura-para-1.m3u8
TV Escola Brazil[geo-blocked],https://t.freetv.fun/live/tv-escola.m3u8
TV GAZETA SAO PAULO[geo-blocked],https://t.freetv.fun/live/tv-gazeta.m3u8
